ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,ARTICLE11,SYSTEM1.TXT,0.14286,0.07143,0.09524,1

ROUGE-1+StopWordRemoval,ARTICLE11,SYSTEM1.TXT,0.23529,0.11429,0.15385,1

ROUGE-2+StopWordRemoval,ARTICLE11,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4+StopWordRemoval,ARTICLE11,SYSTEM1.TXT,0.08696,0.03125,0.04598,1

ROUGE-L+StopWordRemoval,ARTICLE1,SYSTEM1.TXT,0.20690,0.16667,0.18462,1

ROUGE-1+StopWordRemoval,ARTICLE1,SYSTEM1.TXT,0.36170,0.29825,0.32692,1

ROUGE-2+StopWordRemoval,ARTICLE1,SYSTEM1.TXT,0.18182,0.15686,0.16842,1

ROUGE-SU4+StopWordRemoval,ARTICLE1,SYSTEM1.TXT,0.15122,0.13717,0.14385,1

ROUGE-L+StopWordRemoval,ARTICLE2,SYSTEM1.TXT,0.16000,0.06154,0.08889,1

ROUGE-1+StopWordRemoval,ARTICLE2,SYSTEM1.TXT,0.14815,0.04762,0.07207,1

ROUGE-2+StopWordRemoval,ARTICLE2,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4+StopWordRemoval,ARTICLE2,SYSTEM1.TXT,0.06452,0.01140,0.01937,1

ROUGE-L+StopWordRemoval,ARTICLE3,SYSTEM1.TXT,0.13514,0.03704,0.05814,1

ROUGE-1+StopWordRemoval,ARTICLE3,SYSTEM1.TXT,0.13514,0.03012,0.04926,1

ROUGE-2+StopWordRemoval,ARTICLE3,SYSTEM1.TXT,0.04762,0.00676,0.01183,1

ROUGE-SU4+StopWordRemoval,ARTICLE3,SYSTEM1.TXT,0.08333,0.00922,0.01660,1

ROUGE-L+StopWordRemoval,ARTICLE4,SYSTEM1.TXT,0.32000,0.12903,0.18391,1

ROUGE-1+StopWordRemoval,ARTICLE4,SYSTEM1.TXT,0.34483,0.13699,0.19608,1

ROUGE-2+StopWordRemoval,ARTICLE4,SYSTEM1.TXT,0.04348,0.01587,0.02326,1

ROUGE-SU4+StopWordRemoval,ARTICLE4,SYSTEM1.TXT,0.12360,0.04135,0.06197,1

ROUGE-L+StopWordRemoval,ARTICLE5,SYSTEM1.TXT,0.44828,0.18571,0.26263,1

ROUGE-1+StopWordRemoval,ARTICLE5,SYSTEM1.TXT,0.48052,0.16444,0.24503,1

ROUGE-2+StopWordRemoval,ARTICLE5,SYSTEM1.TXT,0.14754,0.04390,0.06767,1

ROUGE-SU4+StopWordRemoval,ARTICLE5,SYSTEM1.TXT,0.24034,0.06054,0.09672,1

